STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,STATE
USW00026491,"ANCHORAGE LAKE HOOD SEA PLANE BASE, AK US",61.1786,-149.96509,25.1,ALASKA
USC00504103,"JUNEAU FORECAST OFFICE, AK US",58.4002,-134.5694,32.3,ALASKA
USC00504107,"JUNEAU LENA POINT, AK US",58.3869,-134.7658,10.7,ALASKA
USR0000AKAI,"KAIYUH ALASKA, AK US",64.4256,-158.1058,33.5,ALASKA
USC00507738,"PORT SAN JUAN, AK US",60.0502,-148.0672,12.2,ALASKA
USC00503294,"GLACIER BAY, AK US",58.4561,-135.8692,13.7,ALASKA
USW00025507,"HOMER AIRPORT, AK US",59.64196,-151.49098,19.1,ALASKA
USW00025628,"ST GEORGE ISLAND AIRPORT, AK US",56.57484,-169.66265,32,ALASKA
USW00025506,"ILIAMNA AIRPORT, AK US",59.74922,-154.90902,46.4,ALASKA
USS0049M08S,"INDIAN PASS, AK US",61.07,-149.48,716.3,ALASKA
USS0051K15S,"PORT GRAHAM, AK US",59.35,-151.85,91.4,ALASKA
USR0000ADON,"DONNELLY ALASKA, AK US",63.9833,-145.65,914.4,ALASKA
USR0000ASLR,"SALMON RIVER ALASKA, AK US",67.4597,-159.8405,366.1,ALASKA
US1AKKP0007,"SOLDOTNA 9.5 E, AK US",60.494368,-150.784236,88.4,ALASKA
US1AKKP0006,"SOLDOTNA 2.3 ESE, AK US",60.480939,-150.998581,29.9,ALASKA
USC00508615,"SOLDOTNA 5 SSW, AK US",60.4194,-151.1336,54.9,ALASKA
USS0048M04S,"MORAINE, AK US",61.38,-149,640.1,ALASKA
USW00025630,"SAND POINT 1 ENE, AK US",55.3473,-160.466,73.2,ALASKA
USS0044Q07S,"UPPER CHENA, AK US",65.1,-144.93,868.7,ALASKA
USC00503160,"FORT KNOX MINE, AK US",65.0033,-147.3408,494.1,ALASKA
USC00503163,"FORT RICHARDSON WATER TREATMENT PLANT, AK US",61.2272,-149.6504,143.3,ALASKA
