STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,STATE
US1VABD0007,"MONETA 3.6 SW, VA US",37.15542,-79.675321,261.5,VIRGINIA
USC00445096,"LURAY 5 E, VA US",38.6661,-78.3727,426.7,VIRGINIA
US1VAPL0011,"FAIRLAWN 0.6 NNE, VA US",37.15867,-80.55381,538.9,VIRGINIA
US1VAHR0022,"GLEN ALLEN 6.8 WNW, VA US",37.683766,-77.605839,84.1,VIRGINIA
US1VABD0003,"MONETA 4.8 S, VA US",37.11083,-79.61667,259.4,VIRGINIA
US1VACP0001,"RIXEYVILLE 6.3 NNE, VA US",38.669594,-77.946712,146.9,VIRGINIA
US1VAIW0011,"SMITHFIELD 1.7 SSW, VA US",36.959118,-76.624924,8.5,VIRGINIA
US1VACP0002,"RIXEYVILLE 2.5 N, VA US",38.616894,-77.969596,150,VIRGINIA
US1VAIW0012,"SMITHFIELD 7.2 W, VA US",36.985893,-76.748617,24.1,VIRGINIA
USC00441606,"CHASE CITY, VA US",36.7775,-78.4756,125.9,VIRGINIA
US1VAIW0014,"SMITHFIELD 5.5 WNW, VA US",37.005606,-76.71227,25.3,VIRGINIA
US1VALB0002,"VICTORIA 0.9 N, VA US",37.006955,-78.221819,160.3,VIRGINIA
US1VABD0009,"BEDFORD 3.2 W, VA US",37.34679,-79.578097,296.9,VIRGINIA
US1VAHR0021,"RICHMOND 6.3 N, VA US",37.622638,-77.470254,49.4,VIRGINIA
US1VAIW0010,"SMITHFIELD 3.6 SSE, VA US",36.93119812,-76.60350037,6.4,VIRGINIA
US1VAHR0020,"GLEN ALLEN 4.5 WSW, VA US",37.650307,-77.565459,72.5,VIRGINIA
US1VAIW0019,"SMITHFIELD 0.7 NE, VA US",36.989753,-76.608689,8.5,VIRGINIA
US1VALYC001,"LYNCHBURG 2.5 NNW, VA US",37.4328,-79.2137,226.5,VIRGINIA
US1VALYC004,"LYNCHBURG 2.5 WSW, VA US",37.3831289,-79.231438,217.3,VIRGINIA
US1VAGL0008,"PEMBROKE 1.3 NNE, VA US",37.3391,-80.6297,575.8,VIRGINIA
US1VAIW0017,"WINDSOR 0.5 ENE, VA US",36.811136,-76.731691,24.4,VIRGINIA
US1VALYC007,"LYNCHBURG 3.4 NNW, VA US",37.4451,-79.2197,253,VIRGINIA
US1VAPL0009,"DUBLIN 2.0 SSW, VA US",37.079385,-80.697753,642.5,VIRGINIA
US1VAOR0001,"BARBOURSVILLE 1.1 NW, VA US",38.185768,-78.28907,167.9,VIRGINIA
US1VALS0004,"GORDONSVILLE 10.4 S, VA US",37.9876103,-78.2108733,140.8,VIRGINIA
USC00446491,"SCOTTSVILLE 6 SE, VA US",37.74277,-78.40127,95.1,VIRGINIA
USW00003759,"CHARLOTTESVILLE 2 SSE, VA US",37.9975,-78.4656,358.7,VIRGINIA
US1VAST0012,"ZUNI 1.5 NW, VA US",36.879766,-76.852169,14.9,VIRGINIA
US1VAST0018,"DREWRYVILLE 2.3 SW, VA US",36.692259,-77.33692,39,VIRGINIA
US1VALS0002,"MINERAL 10.2 ESE, VA US",37.931061,-77.746205,91.1,VIRGINIA
US1VAST0016,"FRANKLIN 2.6 WNW, VA US",36.699961,-76.977148,14.9,VIRGINIA
US1VAST0017,"FRANKLIN 0.5 ESE, VA US",36.6785,-76.9272,8.8,VIRGINIA
US1VAWLC005,"WILLIAMSBURG 4.3 SW, VA US",37.22587585,-76.76144409,1.8,VIRGINIA
US1VAWLC002,"WILLIAMSBURG 1.4 ENE, VA US",37.278,-76.6839,22.3,VIRGINIA
US1VAWLC001,"WILLIAMSBURG 1.3 SSW, VA US",37.253959,-76.719303,22.3,VIRGINIA
USC00447338,"ROCKY MOUNT, VA US",36.9769,-79.8961,400.8,VIRGINIA
USC00446125,"NORA 4 SSE, VA US",37.01529,-82.31981,810.2,VIRGINIA
US1VAFX0037,"MANTUA 1.4 S, VA US",38.8324,-77.2569,131.1,VIRGINIA
US1VAFX0033,"FRANCONIA 1.3 SSE, VA US",38.7462,-77.1386,17.1,VIRGINIA
US1VAMX0001,"WHITE STONE 8.0 SSW, VA US",37.537022,-76.443708,29.9,VIRGINIA
US1VARN0001,"CAVE SPRING 2.4 SSW, VA US",37.190368,-80.021302,479.1,VIRGINIA
US1VARN0003,"ROANOKE 5.5 SW, VA US",37.216843,-80.022756,370.3,VIRGINIA
USC00446475,"PAINTER 2 W, VA US",37.5844,-75.8217,9.1,VIRGINIA
US1VARN0005,"ROANOKE 4.3 SW, VA US",37.24,-80.02,352.7,VIRGINIA
USC00448894,"WARSAW 2 NW, VA US",37.9881,-76.7769,42.7,VIRGINIA
US1VAFX0001,"HERNDON 3.3 S, VA US",38.922127,-77.38015,118.9,VIRGINIA
US1VAFDC002,"FREDERICKSBURG 1.3 ENE, VA US",38.305328,-77.464342,18.9,VIRGINIA
USW00093773,"WAKEFIELD MUNICIPAL AIRPORT, VA US",36.98269,-77.00137,32,VIRGINIA
USW00093775,"ASHLAND HANOVER CO MUNICIPAL AIRPORT, VA US",37.70926,-77.43484,61.5,VIRGINIA
US1VAAG0012,"CRAIGSVILLE 12.2 NNE, VA US",38.250166,-79.3207879,601.4,VIRGINIA
US1VAAG0013,"STAUNTON 2.6 W, VA US",38.153572,-79.109838,490.1,VIRGINIA
USW00000154,"HAMPTON ROADS EXECUTIVE AIRPORT, VA US",36.783,-76.45,7,VIRGINIA
USC00446147,"NORFOLK SOUTH, VA US",36.8707,-76.2289,3,VIRGINIA
USW00000153,"CHESTERFIELD CO AIRPORT, VA US",37.4,-77.517,72.2,VIRGINIA
US1VAKW0002,"HANOVER 5.9 ESE, VA US",37.739067,-77.268317,28.7,VIRGINIA
USC00448680,"VARINA, VA US",37.4559,-77.3502,46,VIRGINIA
USC00445050,"LOUISA, VA US",38.03994,-78.00604,128,VIRGINIA
US1VAST0002,"SEDLEY 3.7 N, VA US",36.8302,-76.989217,29.6,VIRGINIA
US1VAST0005,"IVOR 1.0 SW, VA US",36.89446,-76.91248,26.8,VIRGINIA
US1VACH0001,"SAXE 4.3 SE, VA US",36.90233,-78.59329,140.8,VIRGINIA
US1VAHG0002,"MONTEREY 6.5 SSW, VA US",38.3284054,-79.63708632,742.2,VIRGINIA
US1VACH0003,"CHARLOTTE COURT HOUSE 4.9 NNE, VA US",37.115994,-78.594931,170.4,VIRGINIA
US1VACH0004,"RED OAK 1.4 N, VA US",36.790734,-78.632882,111.3,VIRGINIA
US1VAWLC011,"WILLIAMSBURG 3.7 SW, VA US",37.2371,-76.75927,9.8,VIRGINIA
US1VAWLC012,"WILLIAMSBURG 3.2 NW, VA US",37.2975,-76.7532,20.7,VIRGINIA
USC00446012,"NEW CASTLE, VA US",37.50909,-80.09818,382.8,VIRGINIA
US1VAAG0020,"CHURCHVILLE 2.9 NE, VA US",38.252282,-79.121082,485.5,VIRGINIA
USC00448192,"SUFFOLK LAKE KILBY, VA US",36.7297,-76.6015,6.7,VIRGINIA
US1VAYR0014,"YORKTOWN 6.8 SE, VA US",37.151721,-76.451765,10.4,VIRGINIA
US1VAYR0018,"YORKTOWN 6.0 SSE, VA US",37.162732,-76.457851,16.5,VIRGINIA
US1VAYR0017,"WILLIAMSBURG 5.8 N, VA US",37.354501,-76.707916,27.1,VIRGINIA
US1VAYR0016,"YORKTOWN 6.9 SE, VA US",37.16937256,-76.41854858,3,VIRGINIA
USC00442400,"DISPUTANTA, VA US",37.1122,-77.2017,39.6,VIRGINIA
USC00449159,"WILLIAMSVILLE 2 S, VA US",38.17934,-79.58163,499.9,VIRGINIA
US1VAFL0006,"WILLIS 2.7 SE, VA US",36.831975,-80.447055,878.4,VIRGINIA
US1VAFL0009,"FLOYD 5.2 NW, VA US",36.958101,-80.393169,696.5,VIRGINIA
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,VIRGINIA
USC00449272,"WOOLWINE 1 SE, VA US",36.77363,-80.26233,385,VIRGINIA
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",38.18131,-79.09032,51.5,VIRGINIA
US1VASFC007,"SUFFOLK 13.9 NNE, VA US",36.8852272,-76.5324173,6.7,VIRGINIA
US1VAFL0002,"COPPER HILL 6.2 S, VA US",36.991815,-80.129549,782.1,VIRGINIA
US1VASFC005,"SUFFOLK 16.7 NE, VA US",36.875802,-76.425678,6.1,VIRGINIA
US1VACC0002,"CHARLES CITY 4.1 SE, VA US",37.31,-77.00944,13.1,VIRGINIA
US1VAAG0008,"STAUNTON 2.0 S, VA US",38.1309,-79.0559,492.9,VIRGINIA
US1VASFC011,"SUFFOLK 3.1 NNW, VA US",36.742212,-76.667056,19.2,VIRGINIA
US1VAYR0004,"WILLIAMSBURG 6.0 N, VA US",37.3575,-76.701167,24.1,VIRGINIA
US1VASFC012,"SUFFOLK 2.9 NNW, VA US",36.73993301,-76.66202545,18.3,VIRGINIA
US1VAYR0003,"NEWPORT NEWS 7.5 NNE, VA US",37.166336,-76.44006,7,VIRGINIA
US1VAYR0001,"NEWPORT NEWS 5.8 NE, VA US",37.144333,-76.4541,18,VIRGINIA
US1VASH0002,"STRASBURG 3.7 N, VA US",39.04222,-78.3506,226.2,VIRGINIA
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",37.232431,-76.505988,19.2,VIRGINIA
US1VAYR0007,"WILLIAMSBURG 4.4 N, VA US",37.33323669,-76.71263123,24.1,VIRGINIA
US1VAAG0006,"STAUNTON 0.5 WNW, VA US",38.16253759,-79.07120056,486.5,VIRGINIA
US1VAGC0007,"GLOUCESTER POINT 0.3 WNW, VA US",37.26922,-76.499684,8.5,VIRGINIA
US1VACS0045,"CHESTER 6.6 E, VA US",37.360922,-77.315462,25,VIRGINIA
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.1374,-78.45513,192.3,VIRGINIA
US1VAGC0006,"ZANONI 1.7 SSE, VA US",37.366111,-76.474444,0.9,VIRGINIA
US1VAGC0009,"GLOUCESTER COURTHOUSE 3.3 SE, VA US",37.3727,-76.489609,3,VIRGINIA
US1VACS0043,"MOSELEY 1.9 NNW, VA US",37.441726,-77.713971,62.8,VIRGINIA
USW00093738,"WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US",38.93485,-77.44728,89.5,VIRGINIA
US1VAGC0008,"GLOUCESTER COURTHOUSE 3.3 SSW, VA US",37.36574,-76.55043,21,VIRGINIA
US1VAPG0001,"SHENANDOAH 1.4 N, VA US",38.507,-78.624,292.3,VIRGINIA
USW00093739,"WALLOPS ISLAND NASA TEST FACILITY, VA US",37.93718,-75.46622,9.7,VIRGINIA
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,VIRGINIA
US1VACS0041,"MIDLOTHIAN 5.4 S, VA US",37.42594147,-77.64315033,72.8,VIRGINIA
US1VAFD0003,"WINCHESTER 9.4 NW, VA US",39.2741,-78.29633,278,VIRGINIA
US1VALN0001,"URBANNA 6.2 NNE, VA US",37.717011,-76.517687,27.1,VIRGINIA
US1VALN0002,"KILMARNOCK 2.5 NW, VA US",37.738375,-76.416423,22.9,VIRGINIA
US1VAFD0001,"STEPHENS CITY 2.2 E, VA US",39.100209,-78.180235,221.9,VIRGINIA
US1VASFC019,"SUFFOLK 6.3 N, VA US",36.79277,-76.65817,17.7,VIRGINIA
